13603,16005
11794,8688.9
11310,18487
5024,19331
10206,16062
10570,7014.9
11566,5445.2
7957.7,23576
16457,1645.8
4881.4,17961
24154,6681.3
10443,23789
20359,13351
9151.4,9529.4
3162.6,20046
11697,3494.4
17648,9746.9
14191,8518.7
15929,14572
3229.9,18472
11334,7884.4
13589,15991
11296,18493
5019.5,19330
3167.9,20026
11805,8689.7
10563,7018.1
16460,1634.2
11566,5448.7
24104,6765.1
10216,16052
17641,9771.8
15935,14538
9154,9513.3
4907.2,17939
20482,13329
3213.3,18464
7915.9,23555
12459,4463.6
13592,15988
5013.1,19312
11544,5452.5
3162.1,20031
10227,16060
10562,7008.8
4876,17989
11786,8683.7
15932,14567
7922.8,23560
3210.9,18449
11323,18484
20508,13350
24148,6706.2
12452,4452.3
17639,9736.9
8635.1,2841.1
22071,11479
21291,9464.1
13598,16004
5007.8,19321
11554,5450.8
11789,8671.9
3164.4,20012
10216,16076
24198,6667.2
12458,4450.9
10576,7024.4
4852.9,17943
8179.9,22130
7949.6,23537
11319,18451
17642,9763.9
20529,13334
11785,8676.3
13601,15992
11564,5434.8
5020.6,19335
11311,18485
3177.1,20033
24207,6651.8
10203,16082
12444,4466.7
17662,9748.3
7945.6,23594
22143,11461
20503,13300
11793,8686.3
24233,6654.8
11308,18470
17656,9770.4
10224,16080
5017.7,19308
3159.9,20024
7945.9,23574
11538,5456.5
12413,4428.4
14250,8526.2
8733.4,2870.5
8708.2,15201
15852,7226
11300,18490
17664,9769.2
3173.9,20026
24220,6650.5
5031.4,19334
11549,5479.5
13394,15932
11787,8649.7
12989,17126
7945.8,23582
14280,8298.3
8440.6,20876
12467,4455
11432,12026
12615,8772.9
17669,9758.4
11304,18502
3166.5,20008
6005.4,7389.2
13437,15934
11555,5459.5
12991,17083
8413.9,20861
12442,4442.5
7949.6,23547
24128,6677.9
19851,6583.9
5010.7,19323
14371,8498.9
17652,9756.6
11296,18483
19846,6583.6
13448,15959
8424,20834
6019,7379
24092,6715.5
5395.4,10514
12472,4439.9
11531,5463
7881.9,23563
12977,17108
22132,11483
13517,8456.5
17676,9744.4
11312,18491
19858,6583.5
12995,17122
11541,5453.1
6023,7352.3
5414.7,10509
8427.9,20842
24142,6719.1
12472,4475.1
20546,13324
7903.1,23580
22123,11472
8692.1,2825.1
17669,9754
11290,18456
13478,15966
24126,6716.1
8441.3,20841
12444,4466
20537,13319
11534,5442.5
19848,6531.6
7944.7,23580
14320,6540.8
8635.5,2901.6
17668,9748.5
11321,18493
12474,4457.1
13493,15969
7943.2,23550
11578,5424.3
19846,6560.5
20537,13326
8427.1,20866
24142,6712.7
9968,12428
17661,9759.6
11294,18496
13444,15922
12452,4471.6
8426.2,20876
11579,5433
7940,23610
20493,13302
19868,6581.2
8052,17357
24148,6737.4
17670,9759.4
11312,18482
12449,4445.5
20509,13319
8402.5,20832
11556,5453.1
8061.6,17364
